CymbaltaEpSO;cymbalta
AtivanEpSO;ativan
ThermalSeziureEpSO;thermal seziur;thermal seziure;thermal seizur;thermal seizure
HemisphericEpileptogenicZoneEpSO;hemispher epileptogen zone;hemispheric epileptogenic zone;hemisphere;hemispher
EpilepticSpasmStatusEpSO;epileptic spasm status;epilept spasm status
BifocalEncephalomalaciaEpSO;bifoc encephalomalacia;bifocal encephalomalacia
PromacotEpSO;promacot;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>219440</rxnormid></idgroup></rxnormdata>
DiencephalonZoneEpSO;zone of diencephalon;diencephalon zone
PentazineCodeineEpSO;pentazine codeine;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>688896</rxnormid></idgroup></rxnormdata>;pentazin codein
SerzoneEpSO;serzone;serzon;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>151679</rxnormid></idgroup></rxnormdata>
MidlineThetaRhythmEpSO;midlin theta rhythm;midline theta rhythm
AutonomicStatusEpSO;autonomic status;autonom status
DothiepinHydrochlorideEpSO;dothiepin hydrochlorid;dothiepin hydrochloride
UrinarySeizureEpSO;urinary seizure;urinari seizur
PatientEpSO;patient
TopiragenEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>901323</rxnormid></idgroup></rxnormdata>;topiragen
BodilyProcessEpSO;bodily process;bodili process
Occipital10-10SystemEpSO;occipit 10-10 system;occipital10-10 system;occipital 10-10 system
PosteriorCingulateSegmentEpSO;posterior cingul segment;posterior cingulate segment
VisualAgnosiaStatusEpSO;visual agnosia status
CerebralHemorrhageEpSO;cerebr hemorrhag;cerebral hemorrhage
LeftMidCingulateSegmentEpSO;left mid cingulate segment;left mid cingul segment
OxtellarEpSO;oxtellar
LateralNuclearGroupThalamusSegmentEpSO;later nuclear group thalamus segment;lateral nuclear group thalamus segment;segment of later nuclear group of thalamus;segment of lateral nuclear group of thalamus
PristiqEpSO;pristiq
TwoDimensionalCartesianSpatialCoordinateDatumEpSO;two dimensional cartesian spatial coordinate datum;two dimension cartesian spatial coordin datum
MacropsiaStatusEpSO;macropsia status
ZonegranEpSO;zonegran;zonegran®
ParietalLobeEpSO;parietal region;parietal lobe;pariet lobe;pariet;pariet region;parietal
IntracranialElectrodeEpSO;intracranial electrode;intracrani electrod
EEG32ChannelTopographicWavePlotEpSO;32-channel topograph wave plot;32-channel topographic wave plot;e e g32 channel topographic wave plot;e e g32 channel topograph wave plot
IrritativeZoneEpSO;irrit zone;irritative zone
PosteriorTemporalEpilepsyEpSO;posterior tempor epilepsi;posterior temporal epilepsy
OrganComponentRegionEpSO;organ compon region;region of organ component;organ component region;region of organ compon
ElectrodeP4EpSO;electrod p4;electrode p4
ParestheticSeizureEpSO;paresthet seizur;paresthetic seizure
DejaVuStatusEpSO;deja vu status
HypermotorStatusEpSO;hypermotor status
PosteriorHypothalamicRegionSegmentEpSO;posterior hypothalamic region segment;segment of posterior hypothalam region;segment of posterior hypothalamic region;posterior hypothalam region segment
RapifluxEpSO;rapiflux;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>352940</rxnormid></idgroup></rxnormdata>
LeftHemisphereTumorResectionEpSO;left hemispher tumor resect;left hemisphere tumor resection
FootEpSO;termin segment of free lower limb;terminal segment of free lower limb;foot
AuditoryFrontocentralP200EpSO;vertex positivity;auditori frontocentr p200;vertex posit;auditory frontocentral p200
LittleFingerEpSO;little finger;littl finger;fifth digit of hand
DecreasedAsymmetryPatternEpSO;decreased asymmetry pattern;decreas asymmetri pattern
MetathalamusSegmentEpSO;metathalamus segment;segment of metathalamus
EEGSeizureEndEpSO;eeg seizure end;e e g seizur end;eeg seizur end;e e g seizure end
RightBigToeEpSO;right big toe
MetamorphopsiaEpSO;metamorphopsia
RightForearmEpSO;right antebrachi region;right forearm;right antebrachial region
LeftCerebellumHemisphereEpSO;left cerebellum hemisphere;left hemisphere of cerebellum;left hemispher of cerebellum;left cerebellum hemispher
ElectrodeAL4EpSO;electrode a l4;electrod a l4
GeneEpSO;gene
FrontalLobeDorsolateralZoneEpSO;frontal lobe dorsolateral zone;frontal lobe dorsolater zone;dorsolateral zone of frontal lobe;dorsolater zone of frontal lobe
LevetiracetamEpSO;levetiracetam
SlowSpikeWaveComplexEpSO;slow spike wave complex;slow spike-and-wave complex;slow spike-and-wav complex
NeonateEpSO;neonat;neonate
LissencephalyEpSO;lissencephaly;lissencephali
IloperidoneEpSO;iloperidon;iloperidone
GeneralizedEpilepsyWithFebrileSeizuresPlusEpSO;general epilepsi with febril seizur plus;gefs+;generalized epilepsy with febrile seizures plus
FocalCorticalDysplasiaTypeIIIBEpSO;fcd type iiib (cortic lamin adjac to a glial or glioneuron tumor);focal cortic dysplasia type i i i b;fcd type iiib (cortical lamination adjacent to a glial or glioneuronal tumor);focal cortical dysplasia type i i i b
ForebrainEpSO;forebrain
NeuraxisGrayMatterEpSO;gray matter of neuraxis;neuraxis gray matter;gray matter;neuraxi gray matter;gray matter of neuraxi
RightThumbEpSO;right thumb
AlphaRhythmEpSO;alpha rhythm
BrodmannArea3RightFrontalLobeEpSO;brodmann area3 right frontal lobe;brodmann area 3 right frontal lobe;brodmann area 3 of right frontal lobe
LeftFrontalLobeEpSO;left frontal lobe
PeriodicLimbMovementDisorderEpSO;period limb movement disord;plmd;periodic limb movement disorder
InsomniaEpSO;insomnia
SavellaEpSO;savella
PregabalinEpSO;pregabalin
AtomoxetineHydrochlorideEpSO;atomoxetin hydrochlorid;atomoxetine hydrochloride
PeriictalHeadacheEpSO;peri-ictal headache;periictal headache;periict headach;peri-ict headach
SilenorEpSO;silenor
Six-HertzSpikeWaveBurstEpSO;phantom spike and wave;six- hertz spike wave burst
RightFrontoTemporalGliomaEpSO;right fronto tempor glioma;right fronto temporal glioma
LeftLimbicLobeEpSO;left limbic lobe
LeftSphenoidalEpSO;left sphenoidal;left sphenoid
ParadoxicalClonusEpSO;paradoxical clonus;paradox clonus
AstaticEpisodeEpSO;astat episod;astatic episode
MotorEpisodeEpSO;motor episod;motor episode
IntralaminarNuclearGroupThalamusSegmentEpSO;segment of intralaminar nuclear group of thalamus;intralaminar nuclear group thalamus segment
AlteredLevelOfConsciousnessStateEpSO;alter level of conscious state;altered level of consciousness;alter level of conscious;altered level of consciousness state
DysmetropsiaStatusEpSO;dysmetropsia status
LateralLemniscusTrigoneEpSO;later lemniscus trigon;trigon of later lemniscus;trigone of lateral lemniscus;lateral lemniscus trigone
AlcoholAbuseEpSO;alcohol abuse;alcohol abus
ChromosomalAbnormalityEpSO;chromosomal abnormality;chromosom abnorm
GABRA1EpSO;gamma-aminobutyr acid (gaba) a receptor, alpha 1;gamma-aminobutyric acid (gaba) a receptor, alpha 1;g a b r a1
MedialOlfactoryGyrusEpSO;medial olfactory gyrus;medial olfactori gyrus
DiencephalonEpSO;diencephalon;between brain
SomatotopicEpSO;somatotopic;somatotop
LeftFrontalLobeOrbitofrontalSegmentEpSO;left frontal lobe orbitofront segment;orbitofrontal segment of left frontal lobe;left frontal lobe orbitofrontal segment;orbitofront segment of left frontal lobe;left basal frontal
LeftRingFingerEpSO;left ring finger
GelasticSeizureEpSO;gelast seizur;gelastic seizure
HamartomaEpSO;hamartoma
AkinecticStatusEpSO;akinect status;akinectic status
ElectrodeT10EpSO;electrode t10;electrod t10
OccipitalLobeEpilepsyEpSO;occipit lobe epilepsi;occipital lobe epilepsy
LeftPosteriorTemporalLobeSegmentEpSO;left posterior temporal lobe segment;left posterior tempor lobe segment
TeleopsiaStatusEpSO;teleopsia status
AutonomicAuraEpSO;autonomic aura;autonom aura
DiencephalonGreyMatterStructureEpSO;gray matter structur of diencephalon;gray matter structure of diencephalon;diencephalon grey matter structur;diencephalon grey matter structure
RightMidCingulateSegmentEpSO;right mid cingul segment;right mid cingulate segment
BordmannArea4RightPostcentralGyrusEpSO;brodmann area 4 right postcentr gyrus;brodmann area 4 of right postcentr gyrus;brodmann area 4 of right postcentral gyrus;bordmann area4 right postcentr gyrus;brodmann area 4 right postcentral gyrus;bordmann area4 right postcentral gyrus
RightLateralFrontalLobeSegmentEpSO;right lateral frontal;right later frontal;right lateral frontal lobe segment;right later frontal lobe segment
PexevaEpSO;pexeva
BodilyFeatureEpSO;bodily feature;bodili featur
DiplopiaEpSO;diplopia
IndexFingerEpSO;index finger;second digit of hand
RhythmicBenignVariantEpSO;rhythmic benign variant
LateralOccipitalEpilepsyEpSO;later occipit epilepsi;lateral occipital epilepsy
DextroamphetamineEpSO;dextroamphetamin;dextroamphetamine
InapsineEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>202603</rxnormid></idgroup></rxnormdata>;inapsin;inapsine
ParacentralLobuleEpSO;paracentr lobul;paracentral lobule
VisualIllusionStatusEpSO;visual illusion status;visual illus status
ImipraminePamoateEpSO;imipramine pamoate;imipramin pamoat
LisdexamfetamineEpSO;lisdexamfetamin;lisdexamfetamine
TonicClonicSeizureEpSO;tonic clonic seizur;tonic-clonic seizure;tonic-clon seizur;tonic clonic seizure
WellbutrinEpSO;wellbutrin
CHRNB2EpSO;c h r n b2;cholinerg receptor, nicotinic, beta 2 (neuronal);cholinergic receptor, nicotinic, beta 2 (neuronal)
GlioblastomaMultiformeEpSO;glioblastoma multiforme;glioblastoma multiform
LithiumOrotateEpSO;lithium orotate;lithium orot
ScalpElectrodeEpSO;scalp electrod;scalp electrode;right sphenoidal;right sphenoid
TopamaxEpSO;topamax®;topamax
ElectrodeOzEpSO;electrode oz;electrod oz
RightAnteriorCingulateSegmentEpSO;right anterior cingul segment;right anterior cingulate segment
BilateralAsymmetricTonicSeizureEpSO;bilater asymmetr tonic seizur;bilateral asymmetric tonic seizure
FrontocentralN270EpSO;frontocentral n270;frontocentr n270
TemporalEntityEpSO;tempor entiti;temporal entity
SlowTransientEpSO;slow transient
GabitrilEpSO;gabitril;gabitril®
MesialOccipitalLobeSegmentEpSO;mesial occipital lobe segment;mesial occipit lobe segment
PrefrontalEpilepsyEpSO;prefront epilepsi;prefrontal epilepsy
PhenadozEpSO;phenadoz
DesipramineEpSO;desipramin;desipramine
AntinausEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>992865</rxnormid></idgroup></rxnormdata>;antinaus
FrontalLobeEpilepsyEpSO;frontal lobe epilepsy;frontal lobe epilepsi
ClonicStatusEpSO;clonic status
LeftFrontalLobeOrbitobasalSegmentEpSO;orbitobasal segment of left frontal lobe;left frontal lobe orbitobasal segment;left frontal lobe orbitobas segment;orbitobas segment of left frontal lobe
PhenTussADEpSO;phen tuss a d;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>539987</rxnormid></idgroup></rxnormdata>
ContinuousSlowActivityEndEpSO;end of continuous slow;end of continu slow;continuous slow activity end;continu slow activ end
TonicSeizureEpSO;tonic seizur;tonic seizure
ImipramineHydrochlorideEpSO;imipramine hydrochloride;imipramin hydrochlorid
HeadEpSO;head
MonthEpSO;month
ElectrodePO8EpSO;electrod p o8;electrode p o8
AbilifyEpSO;abilify;abilifi
ElectrodeAL5EpSO;electrode a l5;electrod a l5
GeneralizedEpilepsyEpSO;generalized epilepsy;general epilepsi
TemporoOccipitalEpilepsyEpSO;temporo occipit epilepsi;temporo occipital epilepsy
BradycardicSeizureEpSO;bradycardic seizure;bradycard seizur
AutonomicAuraStatusEpSO;autonom aura status;autonomic aura status
ChildhoodAbsenceEpilepsyEpSO;childhood absenc epilepsi;childhood absence epilepsy
CipramilEpSO;cipramil;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>151516</rxnormid></idgroup></rxnormdata>
BrodmannArea4ParacentralLobuleEpSO;brodmann area4 paracentr lobul;brodmann area 4 of paracentral lobule;brodmann area 4 paracentral lobule;brodmann area4 paracentral lobule;brodmann area 4 of paracentr lobul;brodmann area 4 paracentr lobul
PalinopsiaStatusEpSO;palinopsia status
SexualPeronealSensoryStatusEpSO;sexual peroneal sensory status;sexual peron sensori status
ClonicEpisodeEpSO;clonic episode;clonic episod
HippocampalFormationEpSO;hippocampal formation;hippocampus (crosby);hippocamp format
CuneateTubercleEpSO;cuneate tubercle;cuneat tubercl
EEGFieldPotentialMapEpSO;eeg field potential map;eeg trace;eeg field potenti map;e e g field potential map;e e g field potenti map
BrainVascularEpSO;vasculatur of brain;brain vascular;vasculature of brain
RightTemporalLobeEpSO;right temporal;right tempor lobe;right temporal lobe;right tempor
ElectrodeF8EpSO;electrod f8;electrode f8
BrodmannArea4LeftParacentralLobulePosteriorSegmentEpSO;posterior segment of brodmann area 4 left paracentral lobule;posterior segment of brodmann area 4 left paracentr lobul;brodmann area 4 of posterior segment of left paracentr lobul;brodmann area4 left paracentr lobul posterior segment;brodmann area 4 of posterior segment of left paracentral lobule;brodmann area4 left paracentral lobule posterior segment
BenignFocalEpileptiformDischargeofChildhoodEpSO;benign focal epileptiform dischargeof childhood;benign focal epileptiform discharg of childhood (bfedc);benign focal epileptiform discharge of childhood (bfedc)
ThermalStatusEpSO;thermal status
RightLegEpSO;right leg
MianserinEpSO;mianserin
LeftAmygdalaEpSO;left amygdala
ComplexMotorStatusEpSO;complex motor status
KeppraEpSO;keppra;keppra®
InsulaPosteriorLobuleEpSO;insula posterior lobule;insula posterior lobul;posterior lobule of insula;posterior segment of insula;posterior lobul of insula
BasalTemporalEpilepsyEpSO;basal tempor epilepsi;basal temporal epilepsy
RightCerebellumHemisphereEpSO;right cerebellum hemisphere;right hemispher of cerebellum;right hemisphere of cerebellum;right cerebellum hemispher
BrainNeuralTissueSegmentEpSO;neural tissu of segment of brain;neural tissue of segment of brain;brain neural tissue segment;brain neural tissu segment
ElectrophysiologicalDataEpSO;electrophysiological data;electrophysiolog data
RightFrontalLobeEpSO;right frontal lobe
ClomipramineHydrochlorideEpSO;clomipramin hydrochlorid;clomipramine hydrochloride
ElectrodeO1EpSO;electrod o1;electrode o1
RightBasalTemporalLobeSegmentEpSO;right basal tempor lobe segment;right basal temporal;right basal tempor;right basal temporal lobe segment
PelopsiaEpSO;pelopsia
PhotoparoxysmalResponseEpSO;photoparoxysmal response (pr);photoparoxysmal response;photoparoxysm respons;photoparoxysm respons (pr)
CCL23EpSO;chemokine (c-c motif) ligand 23;c c l23;chemokin (c-c motif) ligand 23
HypermotorEpisodeEpSO;hypermotor episode;hypermotor episod
VisualIllusionEpSO;visual illusion;visual illus
SchizophreniaEpSO;schizophrenia
SpatialRegionEpSO;spatial region
ThiothixeneEpSO;thiothixen;thiothixene
RightFourthToeEpSO;right fourth toe
AutomotorStatusEpSO;automotor status
PolySpikeEpSO;poly spike;poli spike
EEG128ChannelTopographicWavePlotEpSO;128-channel topograph wave plot;128-channel topographic wave plot;e e g128 channel topograph wave plot;e e g128 channel topographic wave plot
LeftCingulateGyrusEpSO;left cingulate gyrus;left cingul gyrus
RightLimbicLobeEpSO;right limbic lobe
ElectrodeP6EpSO;electrod p6;electrode p6
ElectrodeT9EpSO;electrode t9;electrod t9
AdvancedSleepPhaseSyndromeEpSO;advanc sleep phase syndrom;advanced sleep phase syndrome;asps
OccipitalPoleEpSO;occipital pole;occipit pole
TraumaticBrainInjuryEpSO;traumat brain injuri;traumatic brain injury
EtiologyEpSO;etiolog;etiology
ElectrodeA1EpSO;electrod a1;electrode a1
LuvoxEpSO;luvox
LateralHypothalamusZoneEpSO;lateral hypothalamus zone;later zone of hypothalamus;later hypothalamus zone;lateral zone of hypothalamus
LamotrigineEpSO;lamotrigine;lamotrigin
AlphaComaEpSO;alpha coma
HabenulaEpSO;habenula;habenular nuclei
AbdominalAuraEpSO;abdomin aura;abdominal aura
IntracerebralHemorrhageEpSO;intracerebral hemorrhage;intracerebr hemorrhag
SomatotopicArrangementEpSO;somatotop arrang;somatotopic arrangement
InsularEpilepsyEpSO;insular epilepsy;insular epilepsi
BrisdelleEpSO;brisdell;brisdelle
NefazodoneHydrochlorideEpSO;nefazodon hydrochlorid;nefazodone hydrochloride
LeftEyeEpSO;left orbital region;left orbit region;left eye
LeftInsulaPosteriorLobuleEpSO;posterior lobule of left insula;left insula posterior lobul;posterior segment of left insula;left insula posterior lobule;posterior lobul of left insula
FrontalLobeSegmentEpSO;frontal;region of frontal lobe;frontal lobe segment;segment of frontal lobe
ComplexVisualHallucinationStatusEpSO;complex visual hallucin status;complex visual hallucination status
SpecialSeizureEpSO;special seizure;special seizur
SleepOnsetRapidEyeMovementEpSO;sleep onset rapid eye movement
FootSegmentEpSO;foot segment
AmitriptylineOxideEpSO;amitriptyline oxide;amitriptylin oxid
LateralGeniculateBodySegmentEpSO;later genicul bodi segment;subdivision of lateral geniculate body;lateral geniculate body subdivision;subdivis of later genicul bodi;lateral geniculate body segment;later genicul bodi subdivis
MesialFrontalEpilepsyEpSO;mesial frontal epilepsy;mesial frontal epilepsi
EEGWavePlotEpSO;eeg wave plot;eeg waveform;e e g wave plot
DrugDoseFormEpSO;drug dose form
AphasicEpisodeEpSO;aphas episod;aphasic episode
ElectrocerebralInactivityEpSO;electrocerebral inactivity;electrocerebr inact
BrodmannArea4MiddleFrontalGyrusEpSO;brodmann area 4 middl frontal gyrus;brodmann area 4 middle frontal gyrus;brodmann area4 middl frontal gyrus;brodmann area4 middle frontal gyrus;brodmann area 4 of middle frontal gyrus;brodmann area 4 of medial frontal gyrus;brodmann area 4 of middl frontal gyrus
LeftPosteriorFrontalLobeSegmentEpSO;left posterior frontal lobe segment
LobarEpileptogenicZoneEpSO;lobar epileptogenic zone;lobar epileptogen zone
ProCentraEpSO;procentra;pro centra
HypnopompicEpisodeEpSO;hypnopompic episode;hypnopomp episod
AmitriptylinePamoateEpSO;amitriptylin pamoat;amitriptyline pamoate
MaterialAnatomicalEntityEpSO;material anatomical entity;materi anatom entiti
ExcessiveFastPatternEpSO;excessive fast pattern;excess fast pattern
TemporalLobeEpilepsyEpSO;temporal lobe epilepsy;tempor lobe epilepsi
ClinicalEvaluationEpSO;clinic evalu;clinical evaluation
ZuclopenthixolAcetateEpSO;zuclopenthixol acet;zuclopenthixol acetate
BupropionHydrobromideEpSO;bupropion hydrobromid;bupropion hydrobromide
AmphetamineSaccharateEpSO;amphetamin sacchar;amphetamine saccharate
ArmEpSO;proxim segment of free upper limb;proximal segment of free upper limb
EEG256ChannelTopographicWavePlotEpSO;256-channel topograph wave plot;256-channel topographic wave plot;e e g256 channel topographic wave plot;e e g256 channel topograph wave plot
EpilimEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>151706</rxnormid></idgroup></rxnormdata>;epilim
FluoxetineHydrochlorideEpSO;fluoxetin hydrochlorid;fluoxetine hydrochloride
ElectrodeO2EpSO;electrod o2;electrode o2
MetabolicCauseEpSO;metabolic cause;metabol caus
MiddleFingerEpSO;third finger;middl finger;middle finger
SarafemEpSO;sarafem
BrainGyrusSegmentEpSO;brain gyrus segment;segment of gyrus of neuraxis;segment of gyrus of brain;segment of gyrus of neuraxi
AtomoxetineEpSO;atomoxetin;atomoxetine
InionEpSO;inion
LateralHypothalamicRegionSegmentEpSO;segment of lateral hypothalamic region;later hypothalam region segment;lateral hypothalamic region segment;segment of later hypothalam region
HypopneaSyndromeEpSO;hypopnea syndrom;hypopnea syndrome
AmisulprideEpSO;amisulpride;amisulprid
PolymicrogyriaEpSO;polymicrogyria
AtonicSeizureEpSO;atonic seizure;aton seizur
RisperidoneEpSO;risperidon;risperidone
SimpleMotorSeizureEpSO;simpl motor seizur;simple motor seizure
AutomotorSeizureEpSO;automotor seizure;automotor seizur
ThetaComaEpSO;theta coma
OrbitalOperculumEpSO;orbital operculum;orbit operculum
AlphaStuporEpSO;alpha stupor
EpilepsyZoneEpSO;epilepsy zone;epilepsi zone
ElectrodeF9EpSO;electrod f9;electrode f9
AkineticSeizureEpSO;akinetic seizure;akinet seizur
MultiFocalEpilepsyEpSO;multi focal epilepsy;multi focal epilepsi
ElectrodeP7EpSO;electrode p7;electrod p7
CerebralCortexRegionEpSO;cerebr cortex region;region of cerebral cortex;region of cerebr cortex;cerebral cortex region
ThingEpSO;thing
SomatosensoryAuraEpSO;somatosensori aura;somatosensory aura
OrganSegmentEpSO;organ segment;segment of organ
SpikeSlowWaveComplexEpSO;spike-and-slow-wave complex;spike slow wave complex;spike-and-slow-wav complex
TeleopsiaEpSO;teleopsia
LateralizingSignVersionEpSO;later sign version;lateralizing sign version
StatusEpilepticusEpSO;status epilepticus
LeftAnteriorFrontalLobeSegmentEpSO;left anterior frontal lobe segment
CCL22EpSO;chemokine (c-c motif) ligand 22;c c l22;chemokin (c-c motif) ligand 22
RightOccipitalPoleEpSO;right occipit pole;right occipital pole
HypothalamusSegmentEpSO;segment of hypothalamus;hypothalamus segment
HypoxicIschemicInjuryEpSO;hypoxic ischemic injury;hypox ischem injuri
MetencephalonZoneEpSO;zone of metencephalon;metencephalon zone
BetaStuporEpSO;beta stupor
BandHeterotopiaEpSO;band heterotopia
NefazodoneEpSO;nefazodone;nefazodon
